msisdn,event_occurrence_flag,aggregated_call_drop_count,tenure_in_days,avg_recharge_3mo
919428365056,True,0.0,56,151.53
919403574352,False,0.0,36,134.16
917391663395,True,0.0,31,164.54
917017651775,False,0.0,7,560.17
918599840853,True,0.0,84,248.27
918338197849,True,0.0,19,970.24
918419756364,True,0.0,69,985.05
917152721525,False,0.0,85,179.11
918687738937,False,0.0,53,635.22
919945486396,False,0.0,100,879.64
919167021467,True,0.0,71,955.3
919877229210,False,0.0,6,790.37
919864283209,True,0.0,63,472.7
919560761628,True,0.0,45,904.52
918469072661,False,0.0,85,342.33
919835590759,False,0.0,25,804.29
919003484425,False,0.0,42,16.47
919378483743,True,0.0,32,647.45
919620233330,True,0.0,41,780.94
918918260963,True,0.0,80,390.6
918991800019,False,0.0,35,172.12
917453796587,False,0.0,97,467.76
919962958940,True,0.0,63,317.74
917294678352,True,0.0,40,983.06
917721508131,False,0.0,50,809.41
917210643427,True,0.0,51,129.53
918934898666,False,0.0,11,121.29
917557376230,False,0.0,63,165.69
919799264931,False,0.0,100,256.89
919577335953,True,0.0,52,697.64
919427631155,False,0.0,91,187.1
917437021700,False,0.0,2,70.84
917753162653,True,0.0,84,84.69
919577014150,False,0.0,19,906.37
919572447412,True,0.0,10,97.86
919423086220,False,0.0,11,944.5
917696846464,False,0.0,7,221.67
918043665192,False,0.0,84,473.44
917371026639,False,0.0,21,320.53
919950008807,True,0.0,15,70.78
919923781318,True,0.0,63,167.94
917621430136,False,0.0,41,421.41
918382129132,True,0.0,22,633.97
919137464556,False,0.0,6,774.28
917566056427,False,0.0,25,0.85
919387104291,True,0.0,12,989.54
917562851356,True,0.0,81,735.22
919354296652,True,0.0,27,7.45
919559111385,False,0.0,9,289.13
917031001012,True,0.0,16,778.63
919254075750,True,0.0,56,45.49
917999329934,False,0.0,53,522.39
918252687769,True,0.0,44,123.73
917640570713,False,0.0,2,631.06
917765571034,False,0.0,73,746.67
919975143612,True,0.0,12,762.36
918270126729,True,0.0,5,785.37
919808105335,True,0.0,80,104.43
919484528348,True,0.0,89,318.27
918405969000,False,0.0,74,31.13
918438888667,True,0.0,86,284.5
919286128610,True,0.0,73,307.99
917610900200,False,0.0,24,420.71
917877990647,True,0.0,87,668.29
917521247759,False,0.0,51,891.28
918121534958,True,0.0,78,76.35
918457293575,True,0.0,47,144.18
917433348075,False,0.0,30,203.45
919781891923,False,0.0,9,476.1
919955544302,True,0.0,52,480.24
917308146694,True,0.0,44,228.54
919616197747,True,0.0,2,834.76
917783432867,False,0.0,71,718.4
919805802822,True,0.0,32,342.62
918345840745,True,0.0,9,351.13
918632978535,True,0.0,64,934.83
917889687133,True,0.0,45,200.67
919369078206,True,0.0,86,244.44
918107613491,True,0.0,40,391.78
919060961937,True,0.0,49,548.39
919849088142,False,0.0,97,41.89
917360648843,False,0.0,35,876.22
917985635941,True,0.0,26,888.6
917373780031,False,0.0,77,284.41
918774282158,False,0.0,68,223.02
917480468219,False,0.0,5,778.65
918673848685,True,0.0,6,1.44
919674551397,True,0.0,32,829.41
919905492920,False,0.0,84,361.01
918793484162,True,0.0,88,229.58
919130846652,True,0.0,85,415.24
919595403573,False,0.0,28,338.27
917338258951,False,0.0,39,516.86
918099375147,False,0.0,98,197.69
917194314620,False,0.0,47,858.13
919646649013,False,0.0,15,129.18
919778843173,True,0.0,64,876.88
919787996193,True,0.0,73,261.63
919343459102,False,0.0,45,368.07
917353183979,False,0.0,69,750.42
919395869480,True,0.0,33,228.85
917624378340,True,0.0,37,227.96
917314652384,True,0.0,4,460.17
918913333579,False,0.0,43,179.12
918447885778,False,0.0,23,648.85
917442823293,True,0.0,51,476.19
918967770105,False,0.0,47,231.06
917835479352,False,0.0,98,701.71
917676220116,False,0.0,38,114.25
919278152876,False,0.0,0,315.69
917573420239,False,0.0,88,114.38
919877733629,False,0.0,22,810.15
919318297747,True,0.0,2,289.8
919563707272,False,0.0,25,364.75
918699484121,False,0.0,70,337.87
919398410571,False,0.0,3,935.16
918265162573,False,0.0,19,238.27
917022391377,False,0.0,69,28.13
917375899416,True,0.0,5,667.54
919303029031,True,0.0,31,992.49
918792012815,False,0.0,94,525.25
918403792057,False,0.0,76,4.8
919366355159,False,0.0,29,257.65
919774492599,False,0.0,95,635.75
917387652480,True,0.0,88,37.51
919517360884,True,0.0,67,162.28
917357561213,False,0.0,1,371.7
918013465558,True,0.0,81,161.86
917527259496,False,0.0,9,398.67
917221348142,False,0.0,68,119.05
919652916423,False,0.0,92,54.58
918567067057,False,0.0,76,597.76
918708879427,True,0.0,18,727.5
918686352103,True,0.0,38,106.56
917004943787,False,0.0,95,907.34
918032398249,False,0.0,12,241.97
917474439845,True,0.0,9,209.06
919187920410,False,0.0,16,908.83
917430372878,False,0.0,46,775.07
917280647907,True,0.0,37,884.03
918648021756,True,0.0,57,398.15
918699887270,True,0.0,95,708.02
918178884276,True,0.0,25,869.69
918720627470,True,0.0,82,238.95
917673621345,False,0.0,32,696.9
918791674708,True,0.0,37,554.79
919567466567,False,0.0,6,906.38
919658245206,True,0.0,37,965.98
919082029167,True,0.0,68,620.74
919736820502,False,0.0,36,601.31
917089365072,True,0.0,24,171.81
917717967293,True,0.0,18,104.22
917661527911,False,0.0,40,814.44
919843139149,True,0.0,49,604.52
918612105539,False,0.0,43,655.68
917855069520,True,0.0,80,241.45
919022142957,False,0.0,5,599.54
918819241774,False,0.0,79,941.78
918811967841,True,0.0,18,599.41
917162629078,True,0.0,9,784.25
918391890561,True,0.0,24,74.96
919146875428,True,0.0,98,265.62
919106900240,True,0.0,42,722.6
918196591018,True,0.0,88,396.95
919473979489,False,0.0,58,508.06
919888081200,False,0.0,97,931.75
917197323378,True,0.0,59,600.02
917732578761,True,0.0,99,389.47
917366076664,False,0.0,58,743.42
918115862756,True,0.0,92,936.68
917149157745,True,0.0,65,426.79
919674707124,False,0.0,36,513.98
918925327382,False,0.0,62,542.56
919121337685,True,0.0,99,190.26
918915048861,True,0.0,25,145.05
919694254580,True,0.0,6,94.89
919369078206,False,0.0,51,244.44
919482196541,False,0.0,87,381.17
917911047815,False,0.0,70,677.18
919633107545,False,0.0,17,378.38
918935866295,False,0.0,41,655.08
919993006274,False,0.0,28,609.59
918841810119,True,0.0,6,766.99
919555408498,False,0.0,26,219.49
918032089545,True,0.0,29,991.5
